experiment_id,model,seed,config_hash,train_f1_val,test_entity_f1,test_per_f1,test_loc_f1,test_org_f1,params,train_time_min,notes
student_distilled_smoke_seed88,distilroberta-base,88,4141814aa625,0.005115089514066496,0.021739130434782608,0.0,0.0,0.02313624678663239,81533191,0.09116859351666638,student_distilled_smoke | distillation | teacher_mode=ensemble
student_distilled_seed88,distilroberta-base,88,8d3fb7a3d4a3,0.8980263157894737,0.8116063919259883,0.9220103986135183,0.814580031695721,0.7555555555555555,81533191,0.7891517361666729,student_distilled | distillation | teacher_mode=ensemble
student_distilled_seed5768,distilroberta-base,5768,891421b882f8,0.9205569205569205,0.8159663865546218,0.926829268292683,0.8165869218500799,0.7616624257845632,81533191,0.7687922291666609,student_distilled | distillation | teacher_mode=ensemble
student_distilled_seed78516,distilroberta-base,78516,035f77ce294e,0.9092395748160261,0.8194794290512176,0.9440559440559441,0.804416403785489,0.7670068027210885,81533191,0.7659108842833348,student_distilled | distillation | teacher_mode=ensemble
student_distilled_seed88,distilroberta-base,88,499a7c6649f1,0.921681780708986,0.829805249788315,0.9337979094076655,0.8354838709677418,0.7756849315068493,81533191,2.990935194650001,student_distilled | distillation | teacher_mode=ensemble
student_distilled_seed5768,distilroberta-base,5768,dc60ff01203f,0.9119086460032626,0.8261964735516374,0.9328743545611016,0.8293460925039873,0.7717206132879045,81533191,2.233637774866664,student_distilled | distillation | teacher_mode=ensemble
student_distilled_seed78516,distilroberta-base,78516,cf9902effa6e,0.9204265791632485,0.8272383354350568,0.9389179755671901,0.8367670364500793,0.7676595744680851,81533191,3.02329634263333,student_distilled | distillation | teacher_mode=ensemble
student_distilled_logit_ensemble,ensemble,88,ensemble_logit,,0.8303797468354429,0.9340277777777778,0.8325358851674641,0.778063410454156,,,"ensemble | mode=logit | use_crf=False | runs=student_distilled_seed88,student_distilled_seed5768,student_distilled_seed78516"
efficient_after_dapt_logit_ensemble_local,ensemble,88,ensemble_logit,,0.8633879781420765,0.956369982547993,0.858974358974359,0.8206429780033841,,,"ensemble | mode=logit | use_crf=True | runs=efficient_after_dapt_seed88,efficient_after_dapt_seed5768,efficient_after_dapt_seed78516"
student_distilled_logit_ensemble_local,ensemble,88,ensemble_logit,,0.8303797468354429,0.9340277777777778,0.8325358851674641,0.778063410454156,,,"ensemble | mode=logit | use_crf=False | runs=student_distilled_seed88,student_distilled_seed5768,student_distilled_seed78516"
